School Name,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Rank,Prior Rank,Scaled Score,Prior Scaled Score
American University,M,16.2,29.3,32.9,4.3,8.0,19.4,30.6,40.5,4.8,151,133.0,70.9,73.0
Brandeis University,M,9.4,4.8,53.1,11.6,18.0,75.1,32.3,16.5,1.1,72,70.0,77.5,78.8
Drexel University,L,8.1,4.5,22.4,28.7,12.6,23.8,73.4,25.1,8.3,287,345.0,63.3,60.3
University of Central Florida,XL,13.7,23.0,2.9,23.6,9.5,4.3,72.2,9.2,12.1,276,346.0,63.8,60.2
Wake Forest University,M,5.1,6.3,100.0,8.6,3.2,10.9,42.8,15.4,1.7,54,102.0,80.6,74.9
University of Denver,L,8.2,6.1,100.0,3.6,3.4,8.1,45.7,5.6,3.8,157,207.0,70.2,67.0
University of Maryland-Baltimore County,L,10.2,6.8,14.1,13.5,49.8,25.8,45.0,4.5,57.7,321,355.0,62.1,60.0
Texas Tech University,XL,10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7,55.4,438,525.0,58.2,53.8
The New School,M,15.2,8.2,41.1,2.6,5.7,92.3,19.6,13.5,1.0,483,445.0,56.7,56.7
New Jersey Institute of Technology,M,4.8,6.7,10.2,30.4,31.5,52.9,29.1,5.1,26.5,198,282.0,67.2,62.9
University of Kentucky,L,11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9,10.1,328,397.0,61.9,58.7
Syracuse University,L,12.9,8.7,11.6,10.6,5.8,39.3,55.5,42.7,11.6,136,142.0,71.9,72.1
University of Oregon,L,18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3,16.1,290,283.0,63.1,62.8
Clarkson University,S,1.3,1.9,13.5,41.8,48.5,15.0,30.6,7.9,1.2,234,269.0,65.5,63.7
Kansas State University,L,8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5,10.2,384,636.0,59.8,50.6
Swarthmore College,S,3.4,2.4,88.8,11.7,8.7,21.6,12.3,15.2,1.0,23,16.0,85.7,89.2
University at Albany,L,8.1,4.5,5.4,33.9,3.9,7.2,66.0,4.2,13.2,314,341.0,62.2,60.5
University of Mississippi,L,4.2,2.0,83.0,5.5,6.1,2.9,58.0,3.6,1.7,303,370.0,62.6,59.3
Virginia Commonwealth University,L,7.1,8.5,38.8,12.8,9.7,3.2,73.5,8.2,8.5,414,464.0,58.9,55.8
Louisiana State University and Agricultural & Mechanical College,XL,9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8,52.8,401,492.0,59.5,55.1
Michigan Technological University,M,4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1,1.9,412,444.0,59.0,56.8
University of Alabama at Birmingham,L,5.8,4.2,56.0,16.8,,,54.5,1.7,2.0,449,495.0,58.0,55.0
Worcester Polytechnic Institute,M,3.5,5.2,17.4,26.2,42.0,23.5,25.6,8.3,1.9,162,139.0,69.7,72.4
Auburn University,L,7.1,7.7,7.6,17.2,27.6,6.0,54.7,16.4,10.9,188,231.0,68.0,65.5
Clark University,S,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,6.5,155,170.0,70.3,69.5
Clemson University,L,7.3,7.0,12.6,15.2,11.6,5.2,78.5,7.7,12.3,142,157.0,71.7,70.9
Saint Louis University,L,4.4,2.6,53.2,13.5,12.7,11.0,28.7,9.0,1.7,159,154.0,70.0,71.1
The University of Alabama,XL,10.0,20.3,5.3,11.9,5.3,2.5,54.9,10.7,6.7,264,291.0,64.4,62.3
University of Denver,M,5.4,7.4,42.2,7.8,7.7,5.8,32.7,25.6,9.9,157,207.0,70.2,67.0
Baylor University,L,6.1,9.1,11.9,7.5,2.4,3.8,41.8,11.6,4.0,158,191.0,70.2,67.8
Binghamton University,L,7.0,5.1,5.7,15.8,10.8,10.3,44.2,3.9,3.1,115,140.0,73.3,72.3
Brigham Young University,XL,7.5,7.0,4.8,10.4,1.3,3.0,52.4,22.2,3.8,265,400.0,64.4,58.6
Fordham University,L,6.8,8.3,14.8,5.4,6.3,13.9,23.9,29.1,1.4,113,109.0,73.4,74.5
George Mason University,XL,8.8,4.8,12.4,9.2,10.0,15.3,60.9,11.9,22.5,327,340.0,62.0,60.5
Howard University,M,7.0,9.2,38.9,3.0,1.1,4.1,31.9,18.8,1.1,262,325.0,64.4,61.2
Loyola University Chicago,L,8.5,17.3,23.2,7.0,6.5,3.0,39.5,13.2,1.9,227,181.0,65.8,68.7
Ohio University-Main Campus,L,8.1,5.5,5.7,10.5,2.4,3.3,41.4,16.9,2.7,454,463.0,57.8,55.8
Rochester Institute of Technology,L,7.2,10.7,19.2,6.3,4.7,16.1,36.8,9.0,34.5,360,377.0,60.6,59.2
San Diego State University,XL,5.4,3.0,3.3,14.3,5.2,3.5,68.7,15.8,9.4,424,476.0,58.7,55.6
Southern Methodist University,M,4.9,3.6,29.3,7.2,6.8,8.7,30.2,38.8,2.4,99,108.0,74.4,74.6
University of Arkansas,L,5.8,3.5,6.3,11.9,4.8,3.0,51.6,15.4,3.8,335,376.0,61.6,59.2
University of North Carolina at Charlotte,L,5.1,5.8,5.0,13.4,8.7,6.2,65.0,7.8,4.2,400,507.0,59.5,54.6
University of Rhode Island,L,5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8,54.1,326,360.0,62.0,59.8
University of Tulsa,S,3.2,2.1,35.1,11.5,7.0,17.8,20.4,13.7,1.1,212,295.0,66.5,62.3
University of Vermont,L,3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5,8.1,167,198.0,69.4,67.5
Marquette University,M,3.4,2.4,21.1,9.1,6.2,2.7,35.6,11.2,1.2,171,164.0,69.3,70.2
University of Miami,L,3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1,2.2,97,103.0,74.7,74.8
Seattle University,M,5.4,6.4,32.2,2.1,1.5,13.2,6.3,10.1,2.4,259,250.0,64.6,64.7
University of San Diego,M,6.2,7.0,25.5,2.7,3.1,6.8,5.5,12.2,1.0,216,209.0,66.3,66.9
University of San Francisco,M,5.9,4.4,18.7,3.6,2.3,20.2,6.0,29.5,1.2,231,197.0,65.7,67.5
The University of the South,M,4.7,5.9,19.0,6.1,,2.1,13.6,2.3,1.2,141,125.0,71.8,73.3
University of the Pacific,M,2.2,3.5,31.9,3.0,3.2,12.0,7.6,8.1,1.0,304,368.0,62.6,59.4
Illinois State University,L,3.4,2.8,5.6,4.1,4.7,3.1,20.0,7.6,1.1,482,459.0,56.7,56.0
Nova Southeastern University,L,2.7,3.5,11.6,2.8,4.7,3.9,13.2,8.9,1.2,427,474.0,58.6,55.7
